tipo_impresion,material,cantidad,ancho_cm,alto_cm,tiempo_produccion_minutos,retraso_critico
Serigrafia,Plástico,148,40.0,50.0,125.06,0
Plotter,Vinilo Adhesivo,31,290.9,433.85,4705.58,0
Serigrafia,Tela,240,40.0,50.0,155.5,0
Plotter,Vinilo Adhesivo,33,129.23,126.27,670.23,0
Serigrafia,Plástico,330,40.0,50.0,220.96,0
Digital,Bond 80g,372,21.0,29.7,40.25,1
Plotter,Lona Banner,40,67.6,144.01,485.85,0
Offset,Bond 90g,17538,70.0,100.0,176.59,0
Digital,Bond 80g,539,21.0,29.7,55.53,1
Plotter,Lona Banner,33,84.16,369.01,1265.35,0
Offset,Folkote,40974,70.0,100.0,288.92,0
Digital,Cartulina Hilo,916,21.0,29.7,64.76,0
Plotter,Vinilo Adhesivo,25,202.88,86.72,552.23,0
Digital,Bond 80g,932,21.0,29.7,70.32,0
Serigrafia,Plástico,192,40.0,50.0,133.27,0
Digital,Bond 80g,776,21.0,29.7,61.43,0
Serigrafia,Cartón,496,40.0,50.0,292.6,0
Offset,Couché 300g,23677,70.0,100.0,188.04,0
Digital,Bond 80g,363,21.0,29.7,39.02,1
Plotter,Vinilo Adhesivo,42,255.65,212.09,2768.63,0
Offset,Couché 300g,3491,70.0,100.0,102.12,1
Offset,Bond 90g,4051,70.0,100.0,90.15,0
Serigrafia,Plástico,157,40.0,50.0,116.2,0
Plotter,Vinilo Adhesivo,45,98.6,235.11,1283.92,0
Serigrafia,Tela,404,40.0,50.0,260.63,0
Serigrafia,Plástico,318,40.0,50.0,212.29,0
Offset,Folkote,38233,70.0,100.0,245.91,0
Plotter,Lona Banner,17,149.71,245.08,780.35,0
Digital,Couché 150g,107,21.0,29.7,22.63,1
Digital,Bond 80g,107,21.0,29.7,46.96,1
Digital,Cartulina Hilo,683,21.0,29.7,54.4,0
Offset,Folkote,8805,70.0,100.0,112.49,0
Offset,Bond 90g,6237,70.0,100.0,115.64,0
Plotter,Lona Banner,1,288.72,382.05,175.03,0
Offset,Couché 300g,10662,70.0,100.0,144.86,0
Digital,Cartulina Hilo,125,21.0,29.7,26.62,1
Offset,Folkote,2679,70.0,100.0,81.59,0
Plotter,Lona Banner,47,60.18,434.96,1503.73,0
Digital,Couché 150g,502,21.0,29.7,40.83,0
Offset,Bond 90g,36247,70.0,100.0,255.64,0
Serigrafia,Cartón,390,40.0,50.0,227.05,0
Plotter,Microperforado,30,212.44,71.63,576.75,0
Offset,Bond 90g,15069,70.0,100.0,145.94,0
Offset,Folkote,41158,70.0,100.0,282.1,0
Offset,Bond 90g,24289,70.0,100.0,196.46,0
Offset,Bond 90g,42975,70.0,100.0,297.43,0
Offset,Bond 90g,10540,70.0,100.0,137.43,0
Serigrafia,Tela,385,40.0,50.0,252.94,0
Plotter,Vinilo Adhesivo,2,56.63,313.6,73.76,0
Digital,Bond 80g,739,21.0,29.7,68.57,1
Digital,Cartulina Hilo,724,21.0,29.7,55.05,0
Serigrafia,Tela,228,40.0,50.0,180.11,0
Serigrafia,Cartón,476,40.0,50.0,281.48,0
Offset,Couché 300g,39304,70.0,100.0,277.4,0
Plotter,Lona Banner,40,276.34,138.11,1857.0,0
Plotter,Vinilo Adhesivo,8,146.35,356.73,533.26,0
Plotter,Lona Banner,34,115.17,273.22,1303.44,0
Offset,Bond 90g,12338,70.0,100.0,149.95,0
Serigrafia,Cartón,462,40.0,50.0,275.1,0
Plotter,Microperforado,36,94.36,387.78,1605.65,0
Plotter,Lona Banner,35,297.63,235.68,2988.82,0
Plotter,Microperforado,24,266.78,302.84,2350.88,0
Plotter,Microperforado,12,157.25,387.89,904.26,0
Offset,Couché 300g,47352,70.0,100.0,314.38,0
Plotter,Lona Banner,49,176.31,421.91,4410.81,0
Serigrafia,Plástico,226,40.0,50.0,154.9,0
Digital,Cartulina Hilo,661,21.0,29.7,55.34,0
Serigrafia,Cartón,255,40.0,50.0,166.37,0
Digital,Bond 80g,784,21.0,29.7,65.17,1
Serigrafia,Cartón,416,40.0,50.0,258.95,0
Digital,Cartulina Hilo,193,21.0,29.7,16.73,0
Plotter,Vinilo Adhesivo,25,188.43,145.73,849.3,0
Digital,Couché 150g,614,21.0,29.7,61.94,1
Offset,Folkote,19540,70.0,100.0,178.98,0
Offset,Folkote,25244,70.0,100.0,194.23,0
Digital,Bond 80g,272,21.0,29.7,38.51,1
Offset,Folkote,38497,70.0,100.0,277.24,0
Plotter,Lona Banner,43,226.46,485.89,5706.3,0
Serigrafia,Plástico,58,40.0,50.0,80.14,1
Offset,Couché 300g,12516,70.0,100.0,151.16,0
Plotter,Vinilo Adhesivo,38,71.03,365.44,1208.87,0
Serigrafia,Plástico,214,40.0,50.0,154.32,0
Serigrafia,Plástico,471,40.0,50.0,292.04,0
Digital,Cartulina Hilo,560,21.0,29.7,48.23,0
Serigrafia,Tela,376,40.0,50.0,225.82,0
Plotter,Vinilo Adhesivo,44,189.6,240.9,2439.5,0
Digital,Cartulina Hilo,907,21.0,29.7,63.11,0
Digital,Cartulina Hilo,222,21.0,29.7,17.34,0
Digital,Bond 80g,702,21.0,29.7,74.54,1
Digital,Bond 80g,709,21.0,29.7,41.3,0
Plotter,Vinilo Adhesivo,28,241.8,420.26,3452.74,0
Serigrafia,Plástico,397,40.0,50.0,254.83,0
Plotter,Microperforado,49,70.72,287.77,1240.27,0
Offset,Folkote,46740,70.0,100.0,305.84,0
Digital,Cartulina Hilo,721,21.0,29.7,42.08,0
Plotter,Vinilo Adhesivo,16,181.93,496.83,1771.42,0
Plotter,Microperforado,37,113.25,362.94,1847.89,0
Offset,Couché 300g,43356,70.0,100.0,282.11,0
Offset,Bond 90g,45597,70.0,100.0,311.71,0
Serigrafia,Tela,490,40.0,50.0,291.83,0
Plotter,Microperforado,11,120.24,477.69,787.06,0
Offset,Couché 300g,1667,70.0,100.0,93.1,1
Digital,Cartulina Hilo,422,21.0,29.7,37.7,0
Plotter,Microperforado,26,147.07,153.23,727.09,0
Serigrafia,Tela,77,40.0,50.0,64.37,0
Digital,Cartulina Hilo,773,21.0,29.7,67.27,1
Offset,Bond 90g,36547,70.0,100.0,251.27,0
Serigrafia,Plástico,84,40.0,50.0,82.96,0
Offset,Folkote,46445,70.0,100.0,294.02,0
Serigrafia,Plástico,361,40.0,50.0,243.81,0
Offset,Couché 300g,24793,70.0,100.0,186.65,0
Serigrafia,Plástico,338,40.0,50.0,215.9,0
Serigrafia,Tela,423,40.0,50.0,259.45,0
Plotter,Lona Banner,25,292.48,428.95,3782.82,0
Plotter,Lona Banner,13,65.88,66.57,100.6,0
Digital,Couché 150g,758,21.0,29.7,58.06,0
Plotter,Lona Banner,31,237.48,460.92,4117.85,0
Serigrafia,Tela,251,40.0,50.0,176.51,0
Offset,Couché 300g,33201,70.0,100.0,227.5,0
Serigrafia,Cartón,415,40.0,50.0,246.13,0
Offset,Couché 300g,35816,70.0,100.0,255.28,0
Plotter,Microperforado,1,217.93,328.16,120.96,0
Offset,Bond 90g,37187,70.0,100.0,226.15,0
Digital,Bond 80g,820,21.0,29.7,63.32,0
Plotter,Vinilo Adhesivo,12,254.1,485.59,1801.13,0
Offset,Bond 90g,16254,70.0,100.0,181.66,0
Offset,Couché 300g,45238,70.0,100.0,307.13,0
Digital,Couché 150g,124,21.0,29.7,43.33,1
Plotter,Vinilo Adhesivo,39,84.09,56.55,263.12,0
Serigrafia,Cartón,335,40.0,50.0,194.91,0
Offset,Folkote,26934,70.0,100.0,218.53,0
Digital,Cartulina Hilo,357,21.0,29.7,41.48,1
Plotter,Lona Banner,38,162.73,459.71,3443.44,0
Serigrafia,Plástico,130,40.0,50.0,91.16,0
Offset,Folkote,38660,70.0,100.0,251.27,0
Digital,Cartulina Hilo,118,21.0,29.7,30.34,1
Digital,Cartulina Hilo,595,21.0,29.7,39.52,0
Digital,Bond 80g,175,21.0,29.7,45.81,1
Digital,Couché 150g,796,21.0,29.7,46.61,0
Digital,Bond 80g,160,21.0,29.7,42.15,1
Plotter,Lona Banner,23,82.01,118.36,301.57,0
Digital,Couché 150g,409,21.0,29.7,36.05,0
Offset,Bond 90g,43679,70.0,100.0,303.37,0
Offset,Bond 90g,34434,70.0,100.0,244.82,0
Offset,Couché 300g,5188,70.0,100.0,101.7,0
Plotter,Microperforado,19,255.45,205.29,1229.16,0
Plotter,Vinilo Adhesivo,42,94.25,89.92,456.06,0
Plotter,Microperforado,26,273.55,107.94,940.88,0
Digital,Couché 150g,779,21.0,29.7,62.93,0
Digital,Couché 150g,298,21.0,29.7,40.32,1
Serigrafia,Plástico,96,40.0,50.0,86.0,0
Plotter,Lona Banner,30,89.24,219.78,738.24,0
Digital,Couché 150g,386,21.0,29.7,52.81,1
Serigrafia,Cartón,162,40.0,50.0,119.8,0
Serigrafia,Tela,404,40.0,50.0,241.69,0
Plotter,Vinilo Adhesivo,22,109.03,391.98,1152.5,0
Serigrafia,Plástico,127,40.0,50.0,124.95,1
Plotter,Lona Banner,14,86.93,109.9,188.02,0
Offset,Couché 300g,6122,70.0,100.0,105.9,0
Digital,Couché 150g,800,21.0,29.7,74.69,1
Plotter,Microperforado,45,266.8,209.37,3037.71,0
Serigrafia,Tela,168,40.0,50.0,126.73,0
Serigrafia,Tela,77,40.0,50.0,77.03,0
Digital,Cartulina Hilo,861,21.0,29.7,57.23,0
Digital,Bond 80g,586,21.0,29.7,56.48,1
Serigrafia,Cartón,117,40.0,50.0,112.61,0
Digital,Cartulina Hilo,443,21.0,29.7,47.07,1
Digital,Bond 80g,160,21.0,29.7,47.8,1
Offset,Folkote,7371,70.0,100.0,135.6,1
Plotter,Microperforado,8,196.63,304.01,614.01,0
Plotter,Microperforado,42,120.94,213.39,1339.98,0
Digital,Couché 150g,364,21.0,29.7,62.29,1
Offset,Folkote,18260,70.0,100.0,171.27,0
Offset,Couché 300g,28285,70.0,100.0,214.48,0
Digital,Cartulina Hilo,326,21.0,29.7,36.72,1
Offset,Bond 90g,28139,70.0,100.0,209.44,0
Digital,Couché 150g,399,21.0,29.7,39.03,1
Serigrafia,Cartón,144,40.0,50.0,108.36,0
Digital,Cartulina Hilo,713,21.0,29.7,35.62,0
Plotter,Lona Banner,36,299.31,453.47,5900.44,0
Offset,Folkote,42427,70.0,100.0,281.37,0
Serigrafia,Cartón,484,40.0,50.0,294.55,0
Plotter,Lona Banner,2,189.19,307.23,178.83,0
Digital,Bond 80g,375,21.0,29.7,36.13,0
Plotter,Vinilo Adhesivo,26,130.92,241.45,999.96,0
Plotter,Lona Banner,47,226.81,395.5,5089.7,0
Plotter,Vinilo Adhesivo,38,195.31,119.46,1121.79,0
Offset,Couché 300g,21128,70.0,100.0,164.53,0
Digital,Couché 150g,951,21.0,29.7,63.95,0
Digital,Cartulina Hilo,968,21.0,29.7,69.55,0
Digital,Couché 150g,699,21.0,29.7,53.93,0
Serigrafia,Tela,150,40.0,50.0,127.6,0
Serigrafia,Tela,378,40.0,50.0,239.3,0
Offset,Bond 90g,15231,70.0,100.0,165.57,0
Offset,Couché 300g,33293,70.0,100.0,223.76,0
Plotter,Vinilo Adhesivo,49,262.68,385.69,5976.9,0
Plotter,Lona Banner,14,283.23,495.92,2384.66,0
Offset,Couché 300g,6415,70.0,100.0,94.66,0
Digital,Cartulina Hilo,369,21.0,29.7,55.13,1
Offset,Couché 300g,9007,70.0,100.0,122.58,0
Plotter,Lona Banner,11,248.82,140.73,489.03,0
Offset,Folkote,20282,70.0,100.0,173.22,0
Plotter,Vinilo Adhesivo,14,180.77,211.47,669.52,0
Plotter,Lona Banner,40,162.99,371.2,2943.53,0
Plotter,Lona Banner,32,165.67,185.62,1211.05,0
Offset,Couché 300g,20096,70.0,100.0,192.24,0
Offset,Folkote,3192,70.0,100.0,88.57,0
Offset,Folkote,19381,70.0,100.0,180.14,0
Offset,Bond 90g,37455,70.0,100.0,264.7,0
Serigrafia,Plástico,247,40.0,50.0,153.2,0
Plotter,Lona Banner,6,133.2,378.75,384.43,0
Serigrafia,Plástico,160,40.0,50.0,130.13,0
Serigrafia,Tela,206,40.0,50.0,165.06,0
Digital,Bond 80g,972,21.0,29.7,73.28,0
Plotter,Microperforado,36,299.42,388.58,5066.03,0
Serigrafia,Plástico,338,40.0,50.0,221.21,0
Digital,Couché 150g,303,21.0,29.7,46.74,1
Serigrafia,Tela,54,40.0,50.0,62.91,0
Digital,Cartulina Hilo,684,21.0,29.7,55.14,0
Offset,Bond 90g,24710,70.0,100.0,201.16,0
Plotter,Microperforado,47,261.61,107.37,1627.11,0
Serigrafia,Tela,310,40.0,50.0,195.55,0
Offset,Folkote,15382,70.0,100.0,166.05,0
Plotter,Vinilo Adhesivo,27,210.29,362.28,2493.56,0
Plotter,Microperforado,36,229.04,319.56,3180.22,0
Plotter,Vinilo Adhesivo,23,165.5,476.28,2198.76,0
Serigrafia,Tela,445,40.0,50.0,264.81,0
Offset,Bond 90g,27215,70.0,100.0,206.68,0
Digital,Cartulina Hilo,877,21.0,29.7,60.09,0
Plotter,Vinilo Adhesivo,48,224.16,465.12,6037.63,0
Digital,Cartulina Hilo,889,21.0,29.7,81.5,1
Plotter,Microperforado,31,201.68,240.86,1843.76,0
Serigrafia,Tela,78,40.0,50.0,77.73,0
Serigrafia,Tela,469,40.0,50.0,274.55,0
Plotter,Lona Banner,23,280.21,441.45,3469.5,0
Plotter,Microperforado,21,144.83,384.91,1440.03,0
Plotter,Lona Banner,10,250.71,52.08,176.58,0
Plotter,Vinilo Adhesivo,25,265.88,465.33,3725.12,0
Offset,Folkote,9070,70.0,100.0,133.05,0
Offset,Bond 90g,37368,70.0,100.0,253.66,0
Serigrafia,Cartón,177,40.0,50.0,130.9,0
Serigrafia,Tela,228,40.0,50.0,143.97,0
Serigrafia,Cartón,231,40.0,50.0,160.43,0
Serigrafia,Cartón,247,40.0,50.0,155.31,0
Serigrafia,Tela,393,40.0,50.0,251.89,0
Offset,Couché 300g,5757,70.0,100.0,96.8,0
Serigrafia,Plástico,203,40.0,50.0,143.81,0
Serigrafia,Plástico,112,40.0,50.0,89.93,0
Serigrafia,Plástico,238,40.0,50.0,158.22,0
Digital,Couché 150g,785,21.0,29.7,55.14,0
Serigrafia,Tela,190,40.0,50.0,126.37,0
Offset,Couché 300g,34719,70.0,100.0,229.48,0
Plotter,Lona Banner,19,137.35,260.7,832.06,0
Offset,Bond 90g,8311,70.0,100.0,131.21,0
Offset,Bond 90g,29071,70.0,100.0,203.85,0
Offset,Couché 300g,39258,70.0,100.0,278.3,0
Plotter,Microperforado,47,181.91,290.51,3004.9,0
Digital,Couché 150g,996,21.0,29.7,39.12,0
Digital,Cartulina Hilo,880,21.0,29.7,66.01,0
Offset,Bond 90g,13342,70.0,100.0,134.55,0
Digital,Couché 150g,920,21.0,29.7,62.71,0
Serigrafia,Cartón,415,40.0,50.0,261.72,0
Plotter,Lona Banner,34,152.18,61.42,416.24,0
Serigrafia,Plástico,398,40.0,50.0,236.27,0
Plotter,Lona Banner,8,56.77,149.89,118.91,0
Plotter,Vinilo Adhesivo,8,76.03,409.96,317.92,0
Offset,Bond 90g,7722,70.0,100.0,115.04,0
Plotter,Lona Banner,8,74.86,159.43,154.36,0
Serigrafia,Tela,127,40.0,50.0,121.0,0
Offset,Folkote,13175,70.0,100.0,145.08,0
Plotter,Microperforado,4,286.1,113.49,168.92,0
Plotter,Microperforado,18,53.25,88.48,122.76,0
Digital,Cartulina Hilo,200,21.0,29.7,38.3,1
Digital,Bond 80g,131,21.0,29.7,40.25,1
Serigrafia,Tela,51,40.0,50.0,72.77,1
Digital,Bond 80g,572,21.0,29.7,61.08,1
Plotter,Microperforado,42,256.28,213.38,2797.9,0
Plotter,Vinilo Adhesivo,9,159.03,182.51,336.77,0
Digital,Bond 80g,549,21.0,29.7,54.11,1
Serigrafia,Tela,108,40.0,50.0,89.24,0
Serigrafia,Plástico,264,40.0,50.0,173.64,0
Plotter,Lona Banner,17,117.17,293.74,745.56,0
Plotter,Microperforado,45,150.64,148.11,1224.79,0
Offset,Couché 300g,42401,70.0,100.0,305.54,0
Offset,Bond 90g,12372,70.0,100.0,147.89,0
Offset,Folkote,32889,70.0,100.0,250.96,0
Plotter,Microperforado,21,253.76,274.14,1781.6,0
Digital,Cartulina Hilo,427,21.0,29.7,39.56,0
Serigrafia,Tela,125,40.0,50.0,110.06,0
Serigrafia,Cartón,317,40.0,50.0,213.33,0
Digital,Couché 150g,798,21.0,29.7,54.86,0
Serigrafia,Cartón,222,40.0,50.0,161.1,0
Offset,Couché 300g,12664,70.0,100.0,119.91,0
Digital,Bond 80g,683,21.0,29.7,46.35,0
Offset,Couché 300g,37397,70.0,100.0,258.5,0
Digital,Cartulina Hilo,341,21.0,29.7,44.04,1
Digital,Cartulina Hilo,420,21.0,29.7,39.88,0
Digital,Couché 150g,345,21.0,29.7,28.18,0
Plotter,Vinilo Adhesivo,11,138.92,373.57,720.76,0
Plotter,Microperforado,34,149.16,479.34,2929.64,0
Plotter,Vinilo Adhesivo,22,233.14,146.72,927.32,0
Offset,Bond 90g,25058,70.0,100.0,201.51,0
Digital,Cartulina Hilo,414,21.0,29.7,49.45,1
Plotter,Microperforado,2,76.65,83.81,34.93,0
Plotter,Vinilo Adhesivo,17,153.2,367.22,1168.2,0
Plotter,Lona Banner,35,254.78,409.74,4437.45,0
Serigrafia,Plástico,221,40.0,50.0,152.42,0
Digital,Bond 80g,866,21.0,29.7,61.71,0
Digital,Bond 80g,66,21.0,29.7,27.56,1
Offset,Bond 90g,21491,70.0,100.0,188.66,0
Offset,Bond 90g,2341,70.0,100.0,99.55,1
Plotter,Microperforado,37,223.07,432.14,4316.9,0
Plotter,Vinilo Adhesivo,25,275.84,341.0,2849.01,0
Offset,Couché 300g,47617,70.0,100.0,314.31,0
Serigrafia,Plástico,96,40.0,50.0,94.03,0
Offset,Couché 300g,42360,70.0,100.0,281.46,0
Serigrafia,Tela,456,40.0,50.0,260.49,0
Serigrafia,Plástico,440,40.0,50.0,291.06,0
Serigrafia,Cartón,319,40.0,50.0,208.08,0
Plotter,Lona Banner,48,78.82,239.79,1112.8,0
Plotter,Lona Banner,29,168.55,437.92,2594.03,0
Serigrafia,Cartón,152,40.0,50.0,129.87,0
Serigrafia,Tela,322,40.0,50.0,193.26,0
Plotter,Microperforado,44,80.14,84.63,402.25,0
Digital,Cartulina Hilo,854,21.0,29.7,42.41,0
Offset,Folkote,24510,70.0,100.0,210.53,0
Offset,Folkote,13651,70.0,100.0,156.59,0
Digital,Cartulina Hilo,565,21.0,29.7,56.43,1
Offset,Couché 300g,16317,70.0,100.0,166.9,0
Plotter,Vinilo Adhesivo,16,156.7,444.5,1352.52,0
Digital,Cartulina Hilo,499,21.0,29.7,57.08,1
Serigrafia,Cartón,276,40.0,50.0,183.47,0
Plotter,Vinilo Adhesivo,39,52.37,73.71,236.63,0
Offset,Bond 90g,19155,70.0,100.0,164.27,0
Plotter,Lona Banner,47,149.57,91.26,802.77,0
Digital,Bond 80g,626,21.0,29.7,35.45,0
Serigrafia,Plástico,226,40.0,50.0,155.0,0
Offset,Couché 300g,33413,70.0,100.0,234.02,0
Offset,Couché 300g,35801,70.0,100.0,243.96,0
Offset,Bond 90g,41600,70.0,100.0,275.32,0
Digital,Bond 80g,481,21.0,29.7,29.71,0
Plotter,Microperforado,24,81.11,480.39,1140.09,0
Offset,Folkote,2828,70.0,100.0,98.98,1
Digital,Cartulina Hilo,351,21.0,29.7,40.41,1
Plotter,Lona Banner,24,166.85,326.04,1608.36,0
Digital,Bond 80g,542,21.0,29.7,68.31,1
Serigrafia,Tela,415,40.0,50.0,246.12,0
Offset,Couché 300g,18320,70.0,100.0,161.29,0
Offset,Bond 90g,28376,70.0,100.0,222.03,0
Digital,Couché 150g,776,21.0,29.7,75.74,1
Plotter,Microperforado,49,179.57,318.77,3378.76,0
Plotter,Microperforado,35,239.56,363.21,3686.21,0
Serigrafia,Plástico,265,40.0,50.0,176.63,0
Digital,Cartulina Hilo,830,21.0,29.7,75.95,1
Offset,Couché 300g,8287,70.0,100.0,93.98,0
Serigrafia,Tela,172,40.0,50.0,122.22,0
Digital,Cartulina Hilo,590,21.0,29.7,57.36,1
Digital,Cartulina Hilo,89,21.0,29.7,32.79,1
Digital,Cartulina Hilo,586,21.0,29.7,45.79,0
Plotter,Lona Banner,24,113.16,52.29,201.45,0
Plotter,Microperforado,5,62.2,289.67,147.17,0
Digital,Bond 80g,372,21.0,29.7,43.96,1
Offset,Couché 300g,2591,70.0,100.0,93.4,0
Digital,Bond 80g,798,21.0,29.7,85.07,1
Digital,Bond 80g,338,21.0,29.7,44.3,1
Digital,Bond 80g,217,21.0,29.7,38.91,1
Digital,Bond 80g,141,21.0,29.7,40.25,1
Offset,Folkote,33088,70.0,100.0,245.51,0
Plotter,Lona Banner,42,76.46,364.55,1436.73,0
Offset,Folkote,10017,70.0,100.0,123.5,0
Plotter,Lona Banner,31,256.45,107.99,1072.31,0
Digital,Couché 150g,976,21.0,29.7,65.63,0
Digital,Couché 150g,131,21.0,29.7,35.73,1
Serigrafia,Tela,61,40.0,50.0,79.5,1
Digital,Cartulina Hilo,344,21.0,29.7,48.73,1
Plotter,Vinilo Adhesivo,40,114.95,335.3,1861.15,0
Plotter,Lona Banner,24,254.67,107.8,832.54,0
Plotter,Vinilo Adhesivo,28,208.16,469.41,3310.72,0
Plotter,Lona Banner,29,247.2,128.19,1137.67,0
Offset,Folkote,9073,70.0,100.0,114.33,0
Serigrafia,Cartón,423,40.0,50.0,268.45,0
Digital,Bond 80g,259,21.0,29.7,22.72,0
Plotter,Microperforado,14,293.37,486.0,2419.71,0
Offset,Couché 300g,36196,70.0,100.0,259.75,0
Plotter,Microperforado,12,56.15,59.96,77.16,0
